Izvor,Funkcija,Dokaz izvora,Nexora domen,Capability ID,Dokaz Nexora implementacije,Status backend/UI/adapter,Nedostatak,Prioritet,Kriterij prihvata
FinTrack,Raspoređivanje uplata + kompenzacije + pozajmice,ZatvaranjeTab.jsx; settlements; 20260728_f2_f3,FIN,FIN-031(NOVO) + FIN-032(NOVO),FIN-014 payment matching djelimično pokriva sparivanje,djelimično / ne / —,DB-validirano zatvaranje; kompenzacija s printom izjave; šablonske pozajmice,P1,Kompenzacija kreira nalog + izjavu; validacije iznosa na nivou baze
FinTrack,AI unos faktura (vision→predpopunjena forma),ImportTab App.jsx:8715+; docs/context/invoice-import.md,AI+FIN,AI-016(NOVO),devAiAdapter; approval obrazac postoji (AI-014),adapter dev / ne / dev,vision ekstrakcija iza porta; fuzzy partner; ništa se ne snima bez potvrde,P1,Iz PDF/slike predpopunjena faktura; korisnik potvrđuje; original u prilog
FinTrack,AI prijedlozi knjiženja (presedani + sigurnost računa kod),supabase/functions/ai-knjizenje,FIN+AI,FIN-033(NOVO),AI copilot obrazac postoji (prijedlog→approval),ne / ne / dev,presedan-učenje iz posted naloga; sigurnost VISOKA/SREDNJA/NISKA računa KOD; draft-only,P2,AI nikad ne knjiži sam; prijedlog samo s kontima iz plana firme
FinTrack,Radnici (master) + dokumenti + Worker360,WorkersTab App.jsx:12057; worker_documents,HCM,HCM-001,EmployeeService (sprint 072+),backend DA / UI tanak / —,dokumenti radnika (bucket+signed URL); 360 profil UI,P1,CRUD radnika; dokumenti uz object storage; profil sa svim evidencijama
FinTrack,Osjetljivi podaci (JMBG/LK/banka) troslojna zaštita,workers_sensitive; ws_salary_allowed(); mgmt_lock,HCM+IAM,HCM-014(NOVO),FieldPolicyService (IAM) postoji kao mehanizam,mehanizam DA / ne / —,polje-nivo politika za platu/JMBG; "salary krug"; management lock; "plata za ugovore" scope,P1,Plata vidljiva samo salary krugu ili contract-scope permisiji; menadžment dodatno zaključan
FinTrack,Obračun plata (fond dana; bonusi; listići),PayrollTab App.jsx:15174; work_days_config,HCM,HCM-013(NOVO),HCM-012 je samo export kroz konektor,ne / ne / konektor noop,puni obračun: neto/fond dana×dani rada+bonusi; draft→confirmed; listići PDF; import iz Excela,P1,Obračun se slaže sa šihtaricom i bonusima; listić po radniku; izvoz prema knjigovodstvu
FinTrack,Šihtarica (matrica statusa) + audit izmjena + presjek sati,SihtaricaTab App.jsx:13721; attendance_log,HCM,HCM-015(NOVO),HCM-003 clock IN/OUT je drugi model,djelimično (drugi model) / ne / —,dnevna matrica statusa (present/bolovanje/godišnji/...); audit svake izmjene; izvještaj kontrole,P1,Statusi po danu ulaze u obračun; svaka izmjena audituje staro→novo
FinTrack,Godišnji odmori (plan/odobrenje/potvrda print),GodišnjiTab App.jsx:19693; annual_leave,HCM,HCM-004,WorkforceService.requestLeave + approvals (sprint 203),backend DA / UI ne / —,periodi plana; upis odobrenih dana u šihtaricu; print potvrde,P1,Odobren plan upisuje dane u prisustvo uz potvrdu; potvrda za print
FinTrack,Ugovori o radu iz šablona + brojevi slovima + isticanje,contract_templates; generated_contracts; contractMemo.js,HCM+DOC,HCM-016(NOVO),DOC-007 contracts + DocumentTemplateService postoje,djelimično / ne / —,HR šabloni s poljima radnika; iznos slovima; alarm isteka ugovora/LK,P2,Ugovor PDF iz šablona s memorandumom; upozorenje isteka <30d
FinTrack,Targeti + KPI ostvarenje + projekcije,TargetTab; KpiTab App.jsx:21283,BI,BI-004..BI-015 (KPI defs postoje),analytics KPI framework (BI sprintovi),backend DA / UI tanak / —,target po branch+sector; prorata projekcija; trend,P2,Target unos po dimenzijama; % ostvarenja i projekcija na dashboardu
FinTrack,Bonusi/stimulacije + "povrat" procenat,BonusiTab App.jsx:14415,HCM,HCM-017(NOVO),NEMA,ne / ne / —,bonus evidencija po tipu (EUR→BAM pravila u config); veza na obračun,P2,Bonus ulazi u obračun plate; kursevi/procenti su tenant config
FinTrack,Lige (PCC) + checkliste agenata + coaching + rekontrole,ChecklisteTab App.jsx:2925; agent_checklists,HCM,HCM-017(NOVO),HCM-009 performance djelimično,ne / ne / —,šablon checkliste po ligi; instanca po agentu; statusi stavki; coaching log; rok+rekontrola; trener vidi samo svoje,P2,Zatvorene stavke se ne brišu; bedž kašnjenja; trener-scope se poštuje server-side
FinTrack,Zadaci multi-assignee + status po osobi + periodični,TasksTab App.jsx:15767; task_assignee_status; task_logs,WF,WF-013(NOVO),TaskService (1 izvršilac; bez recurring loga),djelimično / ne / —,više izvršilaca; trajni status po osobi; dnevni log za periodične; "x/y završilo",P1,Zadatak završen tek kad svi završe; periodični zadatak se evidentira po danu
FinTrack,Sastanci (agenda/zaključci/carry-over) + AI agenda + sigurnosni filter,SastanakTab; weekly-agenda-generator; agenda_review_queue,WF,WF-014(NOVO),NEMA,ne / ne / AI port,sastanci+todos+notes+schedules; carry-over; AI agenda ISKLJUČIVO whitelist izvora + code-filter finansijskih pojmova + review queue,P2,Finansije nikad ne cure u agendu; sporan sadržaj ide u red za odobrenje
FinTrack,Radni izvještaji privatni po autoru,reports; 20260909_radni_izvjestaji_samo_svoje,WF ili CSM,WF-013(NOVO) nap.,task/report obrasci postoje,djelimično / ne / —,izvještaji vidljivi samo autoru + upravi; ime u tekstu nikad nije osnov prava,P2,RLS-ekvivalent: autor+uprava; WITH CHECK odbija unos u tuđe ime
FinTrack,Oprema (inventar; nepromjenjiv inv. broj) + kategorije,OpremaTab; equipment_inv_seq trigger,EAM,EAM-001 + EAM-015(NOVO),AssetService (AST- numeracija postoji),backend DA / UI tanak / —,stanja opreme; lokacija; kategorije; nepromjenjiv inventarni broj,P1,Inventarni broj se ne može promijeniti; stanja kao lifecycle
FinTrack,Zaduženja opreme + grupni revers + razduženje + printi,ZaduženjaTab; zaduzenje_token; reverzHtml,EAM,EAM-015(NOVO),toolCheckout (sprint 202) je uži,djelimično / ne / —,zaduženje po radniku; grupni token; revers/naljepnica/popis printi; audit printa,P1,Revers s potpisima i QR-om grupe; razduženje zatvara zaduženje
FinTrack,QR naljepnice + javni ograničeni uvid (bez prijave),qr_oprema()/qr_zaduzenje() SECURITY DEFINER; JavniQR.jsx,EAM,EAM-016(NOVO),NEMA javnog uvida,ne / ne / —,javna ruta po tokenu vraća SAMO neosjetljiva polja; bez cijena/napomena,P2,Anonimni uvid isključivo preko kontrolisane funkcije; audit skena opciono
FinTrack,Vozni park (vozila/servisi/gorivo/zaduženja/registracija),VozniParkTab App.jsx:23750,EAM+LOG,EAM-017(NOVO),LOG Vehicle postoji (za logistiku); maintenance postoji,djelimično / ne / —,fleet ops: gorivo+servisi+zaduženja vozila+alarmi registracije; NE prenositi total_km semantiku bez provjere,P2,Trošak vozila = gorivo+servisi; zaduženje vozila zatvara prethodno
FinTrack,Otvaranje poslovnice (playbook faze/koraci/troškovi),PlaybookTab; 20260803_playbook,CRM/WF,postojeće (CRM onboarding checkliste sprint 172),pokriveno obrascem / UI ne / —,instanca playbooka s troškovima i kontaktima kroz postojeće checkliste+PRJ troškove,P3,Playbook = konfigurabilna checklista + PRJ troškovi; bez novog podsistema
FinTrack,Lotto (odvojena djelatnost: radnici/prihodi/troškovi/plate),LottoTab App.jsx:20199,CORE,postojeće (CORE-002 org hijerarhija + module activation),pokriveno modelom / — / —,NE nova funkcija: modelovati kao zasebno pravno lice/poslovnu jedinicu + aktivacija modula,P3,Lotto podaci izolovani dimenzijom pravnog lica; bez paralelnih tabela
FinTrack,Dashboard + operativne kartice po pravima,DashboardLive App.jsx:22495,BI,BI (postojeće) ,analytics read-modeli postoje,backend DA / UI tanak / —,kartice se prikazuju SAMO ako korisnik ima modul/permisiju,P1,Nijedna kartica ne curi podatke van permisija korisnika
FinTrack,Upozorenja (insights: skokovi/dugovi/PDV rok/ističu ugovori),weekly-insights; tabela insights,AI+BI,AI-001..AI-014 (postojeće insights sprint 195-196),InsightsService: anomalije/cash/stockout postoje,backend DA / UI ne / dev AI,dodatna pravila (PDV rok; istek ugovora/LK); dedup ključ; allowlista primalaca kroz permisije,P2,Upozorenja generiše job; primaoci po permisiji; dedup 14 dana
FinTrack,AI Direktor (brifing/chat/rizik radar/board report),AiDirektorTab App.jsx:21681,AI,AI-013/AI-014 (copilot postoji),CopilotService s kontekst gate-ovima,backend DA / UI ne / dev,role-based kontekst; historija brifinga,P3,Brifing sprema izvor podataka; chat ide kroz postojeće gate-ove
FinTrack,Control Center (5 TV ekrana + realtime komanda + povjerljivi mod),src/control; control-data/index.ts,BI,BI-016(NOVO),NEMA,ne / ne / —,multi-screen prikazi; realtime state; povjerljivi mod za plate iza permisije,P3,Plate na ekranu samo uz povjerljivi mod + permisiju; watchdog nije poslovna logika
FinTrack,Glasovni asistent (wake word; toolovi pod korisnikovim JWT),voice-agent; XcallOrb,AI,AI-015(NOVO),NEMA; AI port postoji,ne / ne / STT+TTS adapteri ne postoje,voice sloj NAD postojećim servisima; alati izvršavaju s pravima korisnika; read-only MVP,P3,Asistent ne vidi ništa što korisnik ne vidi; bez providera se uredno gasi
FinTrack,Globalna pretraga (Ctrl+K) filtrirana pravima,GlobalSearch App.jsx:2186,COLLAB/CORE,postojeće (SearchService sprint ~176; search.read),SearchService postoji,backend DA / UI tanak / —,deeplink; rezultati striktno po permisijama,P1,Rezultat se ne pojavljuje ako korisnik nema pravo na modul
FinTrack,Push notifikacije + postavke po korisniku,push_subscriptions; send-push; daily-checks cron,CORE,postojeće (notification servis) + OPS cron,Notification tabela + workeri postoje,backend DA / UI ne / web-push adapter ne,web-push (VAPID) adapter; dnevni podsjetnici rokova; per-user postavke,P1,Podsjetnik roka stiže samo dodijeljenima; mrtve pretplate se čiste
FinTrack,2FA TOTP + passkey + step-up,SecuritySettings; MfaGate,IAM,postojeće (IAM step-up sprintovi) + IAM-015(NOVO za passkey),StepUpGuard postoji u API-ju,djelimično / ne / OIDC dev,TOTP enrollment tok kroz identity provider; passkey; banner za finance bez 2FA,P1,Osjetljive radnje traže step-up; 2FA status vidljiv adminu
FinTrack,Korisnička prava: role+per-user flagovi+branch/sector scope+read-only,UsersTab App.jsx:9504; profiles flagovi,IAM+CORE,postojeće (RBAC+FieldPolicy+module activation),RoleService/permission sistem širi od FinTrackovog,backend DA / UI tanak / —,admin UI za dodjelu; "read-only" kompozitna rola; scope po org jedinici,P1,Sva FinTrack prava izraziva kroz permisije/scope BEZ hardkodiranih UUID lista
FinTrack,Audit svih kritičnih radnji + pregled,user_activity_log; AktivnostTab,CORE,postojeće (CORE-020 audit),writeAudit svuda; audit read API,backend DA / UI ne / —,audit pregled UI s filterima,P1,Svaka kritična mutacija ima audit zapis sa staro→novo
FinTrack,Error logging klijenta + pregled,error_logs; App.jsx:241-290,OPS,postojeće (OPS observability) djelimično,API error filter postoji; klijentski log ne,djelimično / ne / —,prijem klijentskih grešaka s dedupom; admin pregled,P2,Frontend greška završi u logu s dedupom; bez osjetljivog sadržaja
FinTrack,Backup/restore (sedmični export; off-site; procedura),weekly-backup; restore-procedura.md,OPS,OPS backup/DR (postojeće) + OPS-019(NOVO),deploy/backup.sh + dr-drill.sh postoje (sistemski),djelimično / — / —,per-tenant export bundle + dokumentovana restore proba; lista tabela se NE održava ručno,P2,Export obuhvata SVE tenant tabele automatski (iz šeme); restore proba dokumentovana
FinTrack,Uputstva u aplikaciji s per-permisija sadržajem,UputstvaTab; UPUTSTVA_PERM,DOC,DOC-013(NOVO),terminologija/šabloni postoje,ne / ne / —,help sadržaj po modulu; stavka vidljiva samo uz permisiju,P3,Korisnik vidi samo uputstva za module koje ima
FinTrack,Odluke (dnevnik odluka + ishodi),OdlukeTab App.jsx:21484,GRC,postojeće (GRC registri sprint 200),custom-object registri pokrivaju,pokriveno obrascem / ne / —,registar "odluka" kao GRC custom object + AI analiza opciono,P3,Odluka=registar zapis sa statusom i ishodom
FinTrack,Šifrarnik partnera globalni + vanjske šifre,partners; sifra_knjigovodstvo,MDM,postojeće (MDM party) ,PartyService+external identity postoje,backend DA / UI tanak / —,polje vanjske šifre knjigovodstva; auto redni broj,P1,Partner jedinstven; vanjska šifra uz partnera; bez tri paralelne evidencije (NE prenositi F5 problem)
HR-platforma,Profili radnika + score/DISC/Big5 + evaluacije/kompetencije/testiranja,IZVOR NEDOSTUPAN — poznato samo iz FinTrack mosta (sync-worker-to-hr; hr_employee_map),HCM,HCM-020(NOVO; BLOKIRANO),HCM master postoji; evaluacije ne,nepoznato — izvor nedostupan,kompletan inventar HR platforme (repo kenanbuss-sys/xcalltech-hr) čeka pristup,P1,NE implementirati po pretpostavci; prvo pristup repou pa inventar istim metodom
HR-platforma,Magic-link prijava radnika + rola radnik + employee portal,employee-portal edge funkcija (FinTrack strana),B2B/IAM,HCM-018(NOVO),B2B portal obrazac postoji,djelimično / ne / —,self-service portal radnika: SAMO vlastiti podaci/dokumenti/ugovori; plata zabranjena po dizajnu,P2,Radnik autentifikovan vlastitim identitetom vidi isključivo svoje; rate-limit
FinTrack,QR podaci radnika (lična kartica QR),20260722_workers_qr_data.sql; App.jsx:12818-12828,HCM,HCM-019(NOVO),NEMA,ne / ne / —,QR identifikacija radnika s ograničenim javnim poljima,P3,Javni uvid vraća samo neosjetljiva polja radnika
